Region,State,Metro,County,Code
Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,141
Pueblo,CO,Pueblo,Pueblo,142
Springfield,MA,Springfield,Hampden,143
Fairfax,VA,Washington,Fairfax,144
Peoria,AZ,Phoenix,Maricopa,145
Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,146
Pomona,CA,Los Angeles,Los Angeles,147
Paterson,NJ,New York,Passaic,148
Lakewood,CO,Denver,Jefferson,149
Visalia,CA,Visalia,Tulare,150
Torrance,CA,Los Angeles,Los Angeles,151
Charleston,SC,Charleston,Charleston,152
Dayton,OH,Dayton,Montgomery,153
Bridgeport,CT,Stamford,Fairfield,154
Canton,OH,Canton,Stark,155
Yuma,AZ,Yuma,Yuma,156
Salem,OR,Salem,Marion,157
Hayward,CA,San Francisco,Alameda,158
Alexandria,VA,Washington,Alexandria City,159
Hollywood,FL,Miami-Fort Lauderdale,Broward,160
Newark,DE,Philadelphia,New Castle,161
Sunnyvale,CA,San Jose,Santa Clara,162
Eugene,OR,Eugene,Lane,163
Hampton,VA,Virginia Beach,Hampton City,164
Pasadena,CA,Los Angeles,Los Angeles,165
Cumming,GA,Atlanta,Forsyth,166
Saginaw,MI,Saginaw,Saginaw,167
Santa Maria,CA,Santa Barbara,Santa Barbara,168
Inglewood,CA,Los Angeles,Los Angeles,169
Compton,CA,Los Angeles,Los Angeles,170
Orange,CA,Los Angeles,Orange,171
Savannah,GA,Savannah,Chatham,172
Renton,WA,Seattle,King,173
Fullerton,CA,Los Angeles,Orange,174
Warren,MI,Detroit,Macomb,175
Hamilton,OH,Cincinnati,Butler,176
Escondido,CA,San Diego,San Diego,177
Sterling Heights,MI,Detroit,Macomb,178
Gainesville,GA,Gainesville,Hall,179
New Haven,CT,New Haven,New Haven,180
Flint,MI,Flint,Genesee,181
Cary,NC,Raleigh,Wake,182
Victorville,CA,Riverside,San Bernardino,183
Simi Valley,CA,Ventura,Ventura,184
Miramar,FL,Miami-Fort Lauderdale,Broward,185
Concord,CA,San Francisco,Contra Costa,186
Thornton,CO,Denver,Adams,187
Elizabeth,NJ,New York,Union,188
East Los Angeles,CA,Los Angeles,Los Angeles,189
Hartford,CT,Hartford,Hartford,190
Bellevue,WA,Seattle,King,191
Coral Springs,FL,Miami-Fort Lauderdale,Broward,192
Stamford,CT,Stamford,Fairfield,193
Queen Creek,AZ,Phoenix,Pinal,194
Joliet,IL,Chicago,Will,195
Vallejo,CA,Vallejo,Solano,196
Frederick,MD,Washington,Frederick,197
Allentown,PA,Allentown,Lehigh,198
Lansing Township,MI,Lansing,Ingham,199
Hemet,CA,Riverside,Riverside,200
Surprise,AZ,Phoenix,Maricopa,201
Clearwater,FL,Tampa,Pinellas,202
Athens,GA,Athens,Clarke,203
Falls Church,VA,Washington,Fairfax,204
New Port Richey,FL,Tampa,Pasco,205
Santa Clara,CA,San Jose,Santa Clara,206
Temecula,CA,Riverside,Riverside,207
Cedar Rapids,IA,Cedar Rapids,Linn,208
Westminster,CO,Denver,Adams,209
Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,210
Vista,CA,San Diego,San Diego,211
Ann Arbor,MI,Ann Arbor,Washtenaw,212
Costa Mesa,CA,Los Angeles,Orange,213
Spartanburg,SC,Spartanburg,Spartanburg,214
Springfield,IL,Springfield,Sangamon,215
Manchester,NH,Manchester,Hillsborough,216
Norman,OK,Oklahoma City,Cleveland,217
Berkeley,CA,San Francisco,Alameda,218
Ventura,CA,Ventura,Ventura,219
Stone Mountain,GA,Atlanta,Dekalb,220
Downey,CA,Los Angeles,Los Angeles,221
Roseville,CA,Sacramento,Placer,222
Waterbury,CT,New Haven,New Haven,223
Clovis,CA,Fresno,Fresno,224
Tuscaloosa,AL,Tuscaloosa,Tuscaloosa,225
Sparks,NV,Reno,Washoe,226
Redding,CA,Redding,Shasta,227
Chico,CA,Chico,Butte,228
West Covina,CA,Los Angeles,Los Angeles,229
Lowell,MA,Boston,Middlesex,230
Norcross,GA,Atlanta,Gwinnett,231
Peoria,IL,Peoria,Peoria,232
Rock Hill,SC,Charlotte,York,233
Elgin,IL,Chicago,Kane,234
Concord,NC,Charlotte,Cabarrus,235
Carlsbad,CA,San Diego,San Diego,236
