CITY,SCHOOL_RAW,SCHOOL,CSR
Los Angeles,Brockton Avenue Elementary CSR rank: 3,Brockton Avenue Elementary ,3
Los Angeles,Brooklyn Avenue Elementary CSR rank: 8,Brooklyn Avenue Elementary ,8
Los Angeles,Buchanan Street Elementary CSR rank: 3,Buchanan Street Elementary ,3
Los Angeles,Budlong Avenue Elementary CSR rank: 2,Budlong Avenue Elementary ,2
Los Angeles,Bushnell Way Elementary CSR rank: 3,Bushnell Way Elementary ,3
Los Angeles,Cahuenga Elementary CSR rank: 8,Cahuenga Elementary ,8
Los Angeles,Camino Nuevo Academy #2 CSR rank: 7,Camino Nuevo Academy #2 ,7
Los Angeles,Camino Nuevo Charter Academy CSR rank: 5,Camino Nuevo Charter Academy ,5
Los Angeles,Camino Nuevo Charter Academy #4 CSR rank: 6,Camino Nuevo Charter Academy #4 ,6
Los Angeles,Camino Nuevo Charter High CSR rank: 4,Camino Nuevo Charter High ,4
Los Angeles,Camino Nuevo Elementary #3 CSR rank: 2,Camino Nuevo Elementary #3 ,2
Los Angeles,Camino Nuevo High #2 CSR rank: 9,Camino Nuevo High #2 ,9
Los Angeles,Canfield Avenue Elementary CSR rank: 9,Canfield Avenue Elementary ,9
Los Angeles,Carson-Gore Academy of Enviornmental Studies CSR rank: 4,Carson-Gore Academy of Enviornmental Studies ,4
Los Angeles,Carthay Elementary CSR rank: 5,Carthay Elementary ,5
Los Angeles,Castelar Street Elementary CSR rank: 8,Castelar Street Elementary ,8
Los Angeles,Castle Heights Elementary CSR rank: 9,Castle Heights Elementary ,9
Los Angeles,Celerity Dyad Charter CSR rank: 8,Celerity Dyad Charter ,8
Los Angeles,Celerity Nascent Charter CSR rank: 6,Celerity Nascent Charter ,6
Los Angeles,Celerity Octavia Charter CSR rank: 8,Celerity Octavia Charter ,8
Los Angeles,Celerity Troika Charter CSR rank: 9,Celerity Troika Charter ,9
Los Angeles,Center for Advanced Learning CSR rank: 6,Center for Advanced Learning ,6
Los Angeles,Central City Value CSR rank: 9,Central City Value ,9
Los Angeles,Central High CSR rank: 2,Central High ,2
Los Angeles,Cesar Chavez Elementary CSR rank: 3,Cesar Chavez Elementary ,3
Los Angeles,Charles Drew Middle CSR rank: 1,Charles Drew Middle ,1
Los Angeles,Charles H. Kim Elementary CSR rank: 7,Charles H. Kim Elementary ,7
Los Angeles,Charles W. Barrett Elementary CSR rank: 2,Charles W. Barrett Elementary ,2
Los Angeles,Charles White Elementary CSR rank: 1,Charles White Elementary ,1
Los Angeles,Charnock Road Elementary CSR rank: 5,Charnock Road Elementary ,5
Los Angeles,Cheremoya Avenue Elementary CSR rank: 7,Cheremoya Avenue Elementary ,7
Los Angeles,Cheviot Hills Continuation CSR rank: 3,Cheviot Hills Continuation ,3
Los Angeles,Christopher Dena Elementary CSR rank: 3,Christopher Dena Elementary ,3
Los Angeles,Cienega Elementary CSR rank: 5,Cienega Elementary ,5
Los Angeles,Citizens of the World 2 CSR rank: 8,Citizens of the World 2 ,8
Los Angeles,Citizens of the World 3 CSR rank: 8,Citizens of the World 3 ,8
Los Angeles,Citizens of the World Charter Hollywood CSR rank: 9,Citizens of the World Charter Hollywood ,9
Los Angeles,City Language Immersion Charter CSR rank: 7,City Language Immersion Charter ,7
Los Angeles,City of Angels CSR rank: 3,City of Angels ,3
Los Angeles,City Terrace Elementary CSR rank: 4,City Terrace Elementary ,4
Los Angeles,Clifford Street Elementary CSR rank: 9,Clifford Street Elementary ,9
Los Angeles,Clover Avenue Elementary CSR rank: 10,Clover Avenue Elementary ,10
Los Angeles,Coliseum Street Elementary CSR rank: 1,Coliseum Street Elementary ,1
Los Angeles,Commonwealth Avenue Elementary CSR rank: 5,Commonwealth Avenue Elementary ,5
Los Angeles,Communication and Technology at Diego Rivera Learning Complex CSR rank: 4,Communication and Technology at Diego Rivera Learning Complex ,4
Los Angeles,Community Magnet Charter Elementary CSR rank: 10,Community Magnet Charter Elementary ,10
Los Angeles,Compton Avenue Elementary CSR rank: 1,Compton Avenue Elementary ,1
Los Angeles,Contreras Learning Center-Academic Leadership Community CSR rank: 7,Contreras Learning Center-Academic Leadership Community ,7
Los Angeles,Contreras Learning Center-Los Angeles School of Global Studies CSR rank: 6,Contreras Learning Center-Los Angeles School of Global Studies ,6
Los Angeles,Contreras Learning Center-School of Social Justice CSR rank: 4,Contreras Learning Center-School of Social Justice ,4
Los Angeles,Cowan Avenue Elementary CSR rank: 6,Cowan Avenue Elementary ,6
Los Angeles,Crenshaw Arts-Technology Charter High CSR rank: 4,Crenshaw Arts-Technology Charter High ,4
Los Angeles,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet CSR rank: 3","Crenshaw Science, Technology, Engineering, Math and Medicine Magnet ",3
Los Angeles,Crescent Heights Boulevard Elementary CSR rank: 5,Crescent Heights Boulevard Elementary ,5
Los Angeles,Crown Preparatory Academy CSR rank: 4,Crown Preparatory Academy ,4
Los Angeles,Dahlia Heights Elementary CSR rank: 8,Dahlia Heights Elementary ,8
Los Angeles,Daniel Webster Middle CSR rank: 1,Daniel Webster Middle ,1
Los Angeles,David Starr Jordan Senior High CSR rank: 4,David Starr Jordan Senior High ,4
Los Angeles,David Wark Griffith Middle CSR rank: 3,David Wark Griffith Middle ,3
Los Angeles,Dayton Heights Elementary CSR rank: 4,Dayton Heights Elementary ,4
Los Angeles,Delevan Drive Elementary CSR rank: 9,Delevan Drive Elementary ,9
Los Angeles,Dolores Huerta Elementary CSR rank: 3,Dolores Huerta Elementary ,3
Los Angeles,Dorris Place Elementary CSR rank: 6,Dorris Place Elementary ,6
Los Angeles,Downtown Business High CSR rank: 10,Downtown Business High ,10
Los Angeles,Downtown Value CSR rank: 5,Downtown Value ,5
Los Angeles,Dr. Julian Nava Learning Academies-School of Arts and Culture CSR rank: 1,Dr. Julian Nava Learning Academies-School of Arts and Culture ,1
Los Angeles,Dr. Julian Nava Learning Academies-School of Business and Technology CSR rank: 1,Dr. Julian Nava Learning Academies-School of Business and Technology ,1
Los Angeles,"Dr. Lawrence H. Moore Math, Science, Technology Academy CSR rank: 2","Dr. Lawrence H. Moore Math, Science, Technology Academy ",2
Los Angeles,Dr. Maya Angelou Community High CSR rank: 3,Dr. Maya Angelou Community High ,3
Los Angeles,Dr. Owen Lloyd Knox Elementary CSR rank: 1,Dr. Owen Lloyd Knox Elementary ,1
Los Angeles,Dr. Sammy Lee Medical and Health Science Magnet Elementary CSR rank: 6,Dr. Sammy Lee Medical and Health Science Magnet Elementary ,6
Los Angeles,Dr. Theodore T. Alexander Jr. Science Center CSR rank: 3,Dr. Theodore T. Alexander Jr. Science Center ,3
Los Angeles,Eagle Rock Elementary CSR rank: 9,Eagle Rock Elementary ,9
Los Angeles,Eagle Rock High CSR rank: 8,Eagle Rock High ,8
Los Angeles,Early College Academy-LA Trade Tech College CSR rank: 3,Early College Academy-LA Trade Tech College ,3
Los Angeles,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2 CSR rank: 7,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2 ,7
Los Angeles,Eastman Avenue Elementary CSR rank: 2,Eastman Avenue Elementary ,2
Los Angeles,ECALS PUC Early College Academy for Leaders and Scholars CSR rank: 8,ECALS PUC Early College Academy for Leaders and Scholars ,8
Los Angeles,Edward R. Roybal Learning Center CSR rank: 4,Edward R. Roybal Learning Center ,4
Los Angeles,Edwin Markham Middle CSR rank: 1,Edwin Markham Middle ,1
Los Angeles,El Sereno Elementary CSR rank: 6,El Sereno Elementary ,6
Los Angeles,El Sereno Middle CSR rank: 3,El Sereno Middle ,3
Los Angeles,Elysian Heights Elementary CSR rank: 5,Elysian Heights Elementary ,5
Los Angeles,Emerson Community Charter CSR rank: 6,Emerson Community Charter ,6
Los Angeles,Endeavor College Preparatory Charter CSR rank: 7,Endeavor College Preparatory Charter ,7
Los Angeles,Engineering and Technology Academy at Esteban E. Torres High No. 3 CSR rank: 5,Engineering and Technology Academy at Esteban E. Torres High No. 3 ,5
Los Angeles,Environmental and Social Policy Magnet CSR rank: 5,Environmental and Social Policy Magnet ,5
Los Angeles,Equitas Academy #2 CSR rank: 6,Equitas Academy #2 ,6
Los Angeles,Equitas Academy Charter CSR rank: 8,Equitas Academy Charter ,8
Los Angeles,Esperanza Elementary CSR rank: 1,Esperanza Elementary ,1
Los Angeles,Esteban Torres East LA Performing Arts Magnet CSR rank: 4,Esteban Torres East LA Performing Arts Magnet ,4
Los Angeles,Estrella Elementary CSR rank: 3,Estrella Elementary ,3
Los Angeles,Euclid Avenue Elementary CSR rank: 2,Euclid Avenue Elementary ,2
Los Angeles,Everest Value CSR rank: 5,Everest Value ,5
Los Angeles,Evergreen Avenue Elementary CSR rank: 2,Evergreen Avenue Elementary ,2
Los Angeles,Extera Public CSR rank: 5,Extera Public ,5
Los Angeles,Extera Public School No. 2 CSR rank: 3,Extera Public School No. 2 ,3
Los Angeles,Fairburn Avenue Elementary CSR rank: 10,Fairburn Avenue Elementary ,10
Los Angeles,Fairfax Senior High CSR rank: 7,Fairfax Senior High ,7
Los Angeles,Farmdale Elementary CSR rank: 1,Farmdale Elementary ,1
Los Angeles,Felicitas and Gonzalo Mendez High CSR rank: 6,Felicitas and Gonzalo Mendez High ,6
Los Angeles,Fifty-Fourth Street Elementary CSR rank: 3,Fifty-Fourth Street Elementary ,3
Los Angeles,Fifty-Ninth Street Elementary CSR rank: 1,Fifty-Ninth Street Elementary ,1
Los Angeles,Fifty-Second Street Elementary CSR rank: 2,Fifty-Second Street Elementary ,2
Los Angeles,Figueroa Street Elementary CSR rank: 1,Figueroa Street Elementary ,1
Los Angeles,First Street Elementary CSR rank: 1,First Street Elementary ,1
Los Angeles,Fletcher Drive Elementary CSR rank: 2,Fletcher Drive Elementary ,2
Los Angeles,Florence Avenue Elementary CSR rank: 5,Florence Avenue Elementary ,5
Los Angeles,Florence Griffith Joyner Elementary CSR rank: 1,Florence Griffith Joyner Elementary ,1
Los Angeles,Florence Nightingale Middle CSR rank: 1,Florence Nightingale Middle ,1
Los Angeles,Ford Boulevard Elementary CSR rank: 3,Ford Boulevard Elementary ,3
Los Angeles,Forty-Ninth Street Elementary CSR rank: 1,Forty-Ninth Street Elementary ,1
Los Angeles,Forty-Second Street Elementary CSR rank: 1,Forty-Second Street Elementary ,1
Los Angeles,Foshay Learning Center CSR rank: 3,Foshay Learning Center ,3
Los Angeles,Fourth Street Elementary CSR rank: 4,Fourth Street Elementary ,4
Los Angeles,Francisco Bravo Medical Magnet High CSR rank: 10,Francisco Bravo Medical Magnet High ,10
Los Angeles,Frank del Olmo Elementary CSR rank: 2,Frank del Olmo Elementary ,2
Los Angeles,Franklin Avenue Elementary CSR rank: 9,Franklin Avenue Elementary ,9
Los Angeles,Frida Kahlo High CSR rank: 3,Frida Kahlo High ,3
Los Angeles,Gabriella Charter CSR rank: 8,Gabriella Charter ,8
Los Angeles,Gardner Street Elementary CSR rank: 7,Gardner Street Elementary ,7
Los Angeles,Garvanza Elementary CSR rank: 5,Garvanza Elementary ,5
Los Angeles,Gates Street Elementary CSR rank: 2,Gates Street Elementary ,2
Los Angeles,George Washington Carver Middle CSR rank: 1,George Washington Carver Middle ,1
Los Angeles,George Washington Preparatory High CSR rank: 3,George Washington Preparatory High ,3
Los Angeles,"Gerald A. Lawson Academy of the Arts, Mathematics and Science CSR rank: 1","Gerald A. Lawson Academy of the Arts, Mathematics and Science ",1
Los Angeles,Gifted Academy of Mathematics and Entrepreneurial Studies CSR rank: 1,Gifted Academy of Mathematics and Entrepreneurial Studies ,1
Los Angeles,Glassell Park Elementary CSR rank: 1,Glassell Park Elementary ,1
Los Angeles,GLAYS Gratts Learning Academy for Young Scholars CSR rank: 3,GLAYS Gratts Learning Academy for Young Scholars ,3
Los Angeles,Glen Alta Elementary CSR rank: 3,Glen Alta Elementary ,3
Los Angeles,Glenfeliz Boulevard Elementary CSR rank: 2,Glenfeliz Boulevard Elementary ,2
Los Angeles,Global Education Academy CSR rank: 7,Global Education Academy ,7
Los Angeles,Global Education Academy 2 CSR rank: 3,Global Education Academy 2 ,3
Los Angeles,Global Education Academy Middle CSR rank: 2,Global Education Academy Middle ,2
Los Angeles,Goethe International Charter CSR rank: 10,Goethe International Charter ,10
Los Angeles,Graham Elementary CSR rank: 2,Graham Elementary ,2
Los Angeles,Grand View Boulevard Elementary CSR rank: 6,Grand View Boulevard Elementary ,6
Los Angeles,Grant Elementary CSR rank: 4,Grant Elementary ,4
Los Angeles,Grape Street Elementary CSR rank: 1,Grape Street Elementary ,1
Los Angeles,Green Design at Diego Rivera Learning Complex CSR rank: 4,Green Design at Diego Rivera Learning Complex ,4
Los Angeles,Griffin Avenue Elementary CSR rank: 3,Griffin Avenue Elementary ,3
Los Angeles,Hancock Park Elementary CSR rank: 9,Hancock Park Elementary ,9
Los Angeles,Harmony Elementary CSR rank: 1,Harmony Elementary ,1
Los Angeles,Opportunity Harold McAlister High CSR rank: 3,Opportunity Harold McAlister High ,3
Los Angeles,Harris Newmark Continuation CSR rank: 4,Harris Newmark Continuation ,4
Los Angeles,Harrison Street Elementary CSR rank: 2,Harrison Street Elementary ,2
Los Angeles,Harvard Elementary CSR rank: 5,Harvard Elementary ,5
Los Angeles,Highland Park Continuation CSR rank: 3,Highland Park Continuation ,3
Los Angeles,"Hilda L. Solis Learning Academy School of Technology, Business and Education CSR rank: 6","Hilda L. Solis Learning Academy School of Technology, Business and Education ",6
Los Angeles,Hillcrest Drive Elementary CSR rank: 1,Hillcrest Drive Elementary ,1
Los Angeles,Hillside Elementary CSR rank: 2,Hillside Elementary ,2
Los Angeles,Hobart Boulevard Elementary CSR rank: 3,Hobart Boulevard Elementary ,3
Los Angeles,Hollenbeck Middle CSR rank: 3,Hollenbeck Middle ,3
Los Angeles,Hollywood Primary Center CSR rank: 1,Hollywood Primary Center ,1
Los Angeles,Hollywood Senior High CSR rank: 8,Hollywood Senior High ,8
Los Angeles,Holmes Avenue Elementary CSR rank: 1,Holmes Avenue Elementary ,1
Los Angeles,Hooper Avenue Elementary CSR rank: 1,Hooper Avenue Elementary ,1
Los Angeles,Hoover Street Elementary CSR rank: 7,Hoover Street Elementary ,7
Los Angeles,Horace Mann Junior High CSR rank: 1,Horace Mann Junior High ,1
Los Angeles,Hubert Howe Bancroft Middle CSR rank: 3,Hubert Howe Bancroft Middle ,3
Los Angeles,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4 CSR rank: 4,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4 ,4
Los Angeles,Humphreys Avenue Elementary CSR rank: 3,Humphreys Avenue Elementary ,3
Los Angeles,Huntington Drive Elementary CSR rank: 2,Huntington Drive Elementary ,2
Los Angeles,ICEF Innovation Los Angeles Charter CSR rank: 4,ICEF Innovation Los Angeles Charter ,4
Los Angeles,ICEF Vista Elementary CSR rank: 6,ICEF Vista Elementary ,6
Los Angeles,ICEF Vista Middle Academy CSR rank: 6,ICEF Vista Middle Academy ,6
Los Angeles,Ivanhoe Elementary CSR rank: 10,Ivanhoe Elementary ,10
Los Angeles,James A. Garfield Senior High CSR rank: 8,James A. Garfield Senior High ,8
Los Angeles,John Adams Middle CSR rank: 2,John Adams Middle ,2
Los Angeles,John Burroughs Middle CSR rank: 8,John Burroughs Middle ,8
Los Angeles,John C. Fremont Senior High CSR rank: 4,John C. Fremont Senior High ,4
Los Angeles,John H. Liechty Middle CSR rank: 1,John H. Liechty Middle ,1
Los Angeles,John Hope Continuation CSR rank: 3,John Hope Continuation ,3
Los Angeles,John Marshall Senior High CSR rank: 8,John Marshall Senior High ,8
Los Angeles,John Muir Middle CSR rank: 1,John Muir Middle ,1
Los Angeles,John W. Mack Elementary CSR rank: 1,John W. Mack Elementary ,1
Los Angeles,"Johnnie Cochran, Jr., Middle CSR rank: 1","Johnnie Cochran, Jr., Middle ",1
Los Angeles,Judith F. Baca Arts Academy CSR rank: 1,Judith F. Baca Arts Academy ,1
Los Angeles,Kenter Canyon Elementary CSR rank: 10,Kenter Canyon Elementary ,10
Los Angeles,Kentwood Elementary CSR rank: 8,Kentwood Elementary ,8
Los Angeles,King/Drew Medical Magnet High CSR rank: 9,King/Drew Medical Magnet High ,9
Los Angeles,Kingsley Elementary CSR rank: 5,Kingsley Elementary ,5
Los Angeles,KIPP Academy of Innovation CSR rank: 9,KIPP Academy of Innovation ,9
Los Angeles,KIPP Academy of Opportunity CSR rank: 5,KIPP Academy of Opportunity ,5
Los Angeles,KIPP Empower Academy CSR rank: 8,KIPP Empower Academy ,8
Los Angeles,KIPP Iluminar Academy CSR rank: 10,KIPP Iluminar Academy ,10
Los Angeles,KIPP Los Angeles College Preparatory CSR rank: 9,KIPP Los Angeles College Preparatory ,9
Los Angeles,KIPP Philosophers Academy CSR rank: 4,KIPP Philosophers Academy ,4
Los Angeles,KIPP Raices Academy CSR rank: 10,KIPP Raices Academy ,10
Los Angeles,KIPP Scholar Academy CSR rank: 7,KIPP Scholar Academy ,7
Los Angeles,KIPP Sol Academy CSR rank: 9,KIPP Sol Academy ,9
Los Angeles,La Salle Avenue Elementary CSR rank: 1,La Salle Avenue Elementary ,1
Los Angeles,Larchmont Charter CSR rank: 10,Larchmont Charter ,10
Los Angeles,Latona Avenue Elementary CSR rank: 3,Latona Avenue Elementary ,3
Los Angeles,Laurel Elementary CSR rank: 5,Laurel Elementary ,5
Los Angeles,Lenicia B. Weemes Elementary CSR rank: 1,Lenicia B. Weemes Elementary ,1
Los Angeles,Leo Politi Elementary CSR rank: 1,Leo Politi Elementary ,1
Los Angeles,Libertas College Preparatory Charter CSR rank: 5,Libertas College Preparatory Charter ,5
Los Angeles,Lillian Street Elementary CSR rank: 4,Lillian Street Elementary ,4
Los Angeles,Lockwood Avenue Elementary CSR rank: 4,Lockwood Avenue Elementary ,4
Los Angeles,Logan Street Elementary CSR rank: 2,Logan Street Elementary ,2
Los Angeles,Loren Miller Elementary CSR rank: 1,Loren Miller Elementary ,1
Los Angeles,Lorena Street Elementary CSR rank: 1,Lorena Street Elementary ,1
Los Angeles,Loreto Street Elementary CSR rank: 2,Loreto Street Elementary ,2
Los Angeles,Los Angeles Academy Middle CSR rank: 2,Los Angeles Academy Middle ,2
Los Angeles,Los Angeles Academy of Arts & Enterprise Charter CSR rank: 4,Los Angeles Academy of Arts & Enterprise Charter ,4
Los Angeles,Los Angeles Center for Enriched Studies CSR rank: 10,Los Angeles Center for Enriched Studies ,10
Los Angeles,Los Angeles Elementary CSR rank: 4,Los Angeles Elementary ,4
Los Angeles,Los Angeles Leadership Academy CSR rank: 5,Los Angeles Leadership Academy ,5
Los Angeles,Los Angeles Leadership Primary Academy CSR rank: 3,Los Angeles Leadership Primary Academy ,3
Los Angeles,Los Angeles River at Sonia Sotomayor Learning Academies CSR rank: 4,Los Angeles River at Sonia Sotomayor Learning Academies ,4
Los Angeles,Los Angeles Senior High CSR rank: 4,Los Angeles Senior High ,4
Los Angeles,Los Feliz Charter School for the Arts CSR rank: 6,Los Feliz Charter School for the Arts ,6
Los Angeles,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet CSR rank: 6,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet ,6
Los Angeles,Lou Dantzler Preparatory Charter Elementary CSR rank: 1,Lou Dantzler Preparatory Charter Elementary ,1
Los Angeles,Lovelia P. Flournoy Elementary CSR rank: 1,Lovelia P. Flournoy Elementary ,1
Los Angeles,Loyola Village Fine And Performing Arts Magnet CSR rank: 5,Loyola Village Fine And Performing Arts Magnet ,5
Los Angeles,Luther Burbank Middle CSR rank: 6,Luther Burbank Middle ,6
Los Angeles,MacArthur Park Elementary CSR rank: 3,MacArthur Park Elementary ,3
Los Angeles,Magnolia Avenue Elementary CSR rank: 2,Magnolia Avenue Elementary ,2
Los Angeles,Magnolia Science Academy 4 CSR rank: 5,Magnolia Science Academy 4 ,5
Los Angeles,Magnolia Science Academy 6 CSR rank: 6,Magnolia Science Academy 6 ,6
Los Angeles,Main Street Elementary CSR rank: 1,Main Street Elementary ,1
Los Angeles,Malabar Street Elementary CSR rank: 3,Malabar Street Elementary ,3
Los Angeles,Manchester Avenue Elementary CSR rank: 2,Manchester Avenue Elementary ,2
Los Angeles,Manhattan Place Elementary CSR rank: 2,Manhattan Place Elementary ,2
Los Angeles,Manual Arts Senior High CSR rank: 3,Manual Arts Senior High ,3
Los Angeles,Mar Vista Elementary CSR rank: 9,Mar Vista Elementary ,9
Los Angeles,Marguerite Poindexter LaMotte Elementary CSR rank: 2,Marguerite Poindexter LaMotte Elementary ,2
Los Angeles,Marianna Avenue Elementary CSR rank: 6,Marianna Avenue Elementary ,6
Los Angeles,Marina del Rey Middle CSR rank: 3,Marina del Rey Middle ,3
Los Angeles,Mark Twain Middle CSR rank: 3,Mark Twain Middle ,3
Los Angeles,Martin Luther King Jr. Elementary CSR rank: 1,Martin Luther King Jr. Elementary ,1
Los Angeles,Marvin Elementary CSR rank: 6,Marvin Elementary ,6
Los Angeles,Mary McLeod Bethune Middle CSR rank: 1,Mary McLeod Bethune Middle ,1
Los Angeles,Math and Science College Preparatory CSR rank: 10,Math and Science College Preparatory ,10
Los Angeles,"Math, Science, & Technology Magnet Academy at Roosevelt High CSR rank: 9","Math, Science, & Technology Magnet Academy at Roosevelt High ",9
Los Angeles,Mayberry Street Elementary CSR rank: 1,Mayberry Street Elementary ,1
Los Angeles,McKinley Avenue Elementary CSR rank: 1,McKinley Avenue Elementary ,1
Los Angeles,Melrose Avenue Elementary CSR rank: 9,Melrose Avenue Elementary ,9
Los Angeles,Menlo Avenue Elementary CSR rank: 3,Menlo Avenue Elementary ,3
Los Angeles,Metro Charter CSR rank: 4,Metro Charter ,4
Los Angeles,Metropolitan Continuation CSR rank: 4,Metropolitan Continuation ,4
Los Angeles,Micheltorena Street Elementary CSR rank: 5,Micheltorena Street Elementary ,5
Los Angeles,Mid-City's Prescott School of Enriched Sciences CSR rank: 6,Mid-City's Prescott School of Enriched Sciences ,6
Los Angeles,Middle College High CSR rank: 8,Middle College High ,8
Los Angeles,Miramonte Elementary CSR rank: 1,Miramonte Elementary ,1
Los Angeles,Monsenor Oscar Romero Charter Middle CSR rank: 3,Monsenor Oscar Romero Charter Middle ,3
Los Angeles,Monte Vista Street Elementary CSR rank: 3,Monte Vista Street Elementary ,3
Los Angeles,Monterey Continuation CSR rank: 2,Monterey Continuation ,2
Los Angeles,Morris K. Hamasaki Elementary CSR rank: 2,Morris K. Hamasaki Elementary ,2
Los Angeles,Mt. Washington Elementary CSR rank: 9,Mt. Washington Elementary ,9
Los Angeles,Multnomah Street Elementary CSR rank: 5,Multnomah Street Elementary ,5
Los Angeles,Murchison Street Elementary CSR rank: 1,Murchison Street Elementary ,1
Los Angeles,N.E.W. Academy of Science and Arts CSR rank: 4,N.E.W. Academy of Science and Arts ,4
Los Angeles,Nevin Avenue Elementary CSR rank: 5,Nevin Avenue Elementary ,5
Los Angeles,New Designs Charter CSR rank: 6,New Designs Charter ,6
Los Angeles,New Designs Charter School-Watts CSR rank: 2,New Designs Charter School-Watts ,2
Los Angeles,New Heights Charter CSR rank: 7,New Heights Charter ,7
Los Angeles,New Los Angeles Charter CSR rank: 7,New Los Angeles Charter ,7
Los Angeles,New Village Girls Academy CSR rank: 1,New Village Girls Academy ,1
Los Angeles,Ninety-Fifth Street Elementary CSR rank: 1,Ninety-Fifth Street Elementary ,1
Los Angeles,Ninety-Ninth Street Elementary CSR rank: 4,Ninety-Ninth Street Elementary ,4
Los Angeles,Ninety-Second Street Elementary CSR rank: 3,Ninety-Second Street Elementary ,3
Los Angeles,Ninety-Sixth Street Elementary CSR rank: 3,Ninety-Sixth Street Elementary ,3
Los Angeles,Ninety-Third Street Elementary CSR rank: 1,Ninety-Third Street Elementary ,1
Los Angeles,Ninth Street Elementary CSR rank: 3,Ninth Street Elementary ,3
Los Angeles,Nora Sterry Elementary CSR rank: 6,Nora Sterry Elementary ,6
Los Angeles,Normandie Avenue Elementary CSR rank: 1,Normandie Avenue Elementary ,1
Los Angeles,Norwood Street Elementary CSR rank: 1,Norwood Street Elementary ,1
Los Angeles,Ocean Charter CSR rank: 8,Ocean Charter ,8
Los Angeles,One Hundred Eighteenth Street CSR rank: 3,One Hundred Eighteenth Street ,3
Los Angeles,One Hundred Ninth Street Elementary CSR rank: 1,One Hundred Ninth Street Elementary ,1
Los Angeles,One Hundred Seventh Street Elementary CSR rank: 1,One Hundred Seventh Street Elementary ,1
Los Angeles,One Hundred Sixteenth Street Elementary CSR rank: 3,One Hundred Sixteenth Street Elementary ,3
Los Angeles,One Hundred Twelfth Street Elementary CSR rank: 1,One Hundred Twelfth Street Elementary ,1
Los Angeles,One Hundred Twenty-Second Street Elementary CSR rank: 6,One Hundred Twenty-Second Street Elementary ,6
Los Angeles,Open Charter Magnet CSR rank: 9,Open Charter Magnet ,9
Los Angeles,Orthopaedic Hospital CSR rank: 8,Orthopaedic Hospital ,8
Los Angeles,Orville Wright Engineering and Design Magnet CSR rank: 4,Orville Wright Engineering and Design Magnet ,4
Los Angeles,Oscar De La Hoya Animo Charter High CSR rank: 7,Oscar De La Hoya Animo Charter High ,7
Los Angeles,Overland Avenue Elementary CSR rank: 10,Overland Avenue Elementary ,10
Los Angeles,Palms Elementary CSR rank: 4,Palms Elementary ,4
Los Angeles,Palms Middle CSR rank: 8,Palms Middle ,8
Los Angeles,Para Los Ni?os Charter CSR rank: 3,Para Los Ni?os Charter ,3
Los Angeles,Para Los Ni?os Middle CSR rank: 2,Para Los Ni?os Middle ,2
Los Angeles,Parmelee Avenue Elementary CSR rank: 2,Parmelee Avenue Elementary ,2
Los Angeles,Paul Revere Charter Middle CSR rank: 9,Paul Revere Charter Middle ,9
Los Angeles,Performing Arts Community at Diego Rivera Learning Complex CSR rank: 4,Performing Arts Community at Diego Rivera Learning Complex ,4
Los Angeles,Phoenix Continuation CSR rank: 4,Phoenix Continuation ,4
Los Angeles,Pio Pico Middle CSR rank: 4,Pio Pico Middle ,4
Los Angeles,Public Policy Charter CSR rank: 1,Public Policy Charter ,1
Los Angeles,Public Service Community at Diego Rivera Learning Complex CSR rank: 6,Public Service Community at Diego Rivera Learning Complex ,6
Los Angeles,PUC CALS Middle School and Early College High CSR rank: 9,PUC CALS Middle School and Early College High ,9
Los Angeles,PUC Excel Charter Academy CSR rank: 2,PUC Excel Charter Academy ,2
Los Angeles,PUC Milagro Charter CSR rank: 9,PUC Milagro Charter ,9
Los Angeles,PUC Santa Rosa Charter Academy CSR rank: 5,PUC Santa Rosa Charter Academy ,5
Los Angeles,Pueblo de Los Angeles Continuation CSR rank: 1,Pueblo de Los Angeles Continuation ,1
Los Angeles,Queen Anne Place Elementary CSR rank: 5,Queen Anne Place Elementary ,5
Los Angeles,Quincy Jones Elementary CSR rank: 3,Quincy Jones Elementary ,3
Los Angeles,Ramon C. Cortines School of Visual and Performing Arts CSR rank: 7,Ramon C. Cortines School of Visual and Performing Arts ,7
Los Angeles,Ramona Elementary CSR rank: 2,Ramona Elementary ,2
Los Angeles,Ramona Opportunity High CSR rank: 2,Ramona Opportunity High ,2
Los Angeles,Raymond Avenue Elementary CSR rank: 1,Raymond Avenue Elementary ,1
Los Angeles,Renaissance Arts Academy CSR rank: 10,Renaissance Arts Academy ,10
Los Angeles,Renaissance Arts Academy K-12 CSR rank: 7,Renaissance Arts Academy K-12 ,7
Los Angeles,Resolute Academy Charter CSR rank: 4,Resolute Academy Charter ,4
Los Angeles,RFK Community Schools-Ambassador School-Global Education CSR rank: 4,RFK Community Schools-Ambassador School-Global Education ,4
Los Angeles,RFK Community Schools-Ambassador-Global Leadership CSR rank: 3,RFK Community Schools-Ambassador-Global Leadership ,3
