,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms
38,20847872,1604 S Adams St, Glendale CA 91205,34.1272435843,-118.238930291,0,826171,875741,776601,"683,800",58253.0,2017,1960,4849,1650,4,2.0
39,20835081,CA-2, Glendale CA 91206,34.1480753287,-118.226356868,0,535754,562542,508966,"438,800",403864.0,2017,1987,24762,1133,2,3.0
40,20826658,1219 Bruce Ave, Glendale CA 91202,34.1657522673,-118.280258797,0,819542,860519,778565,"792,200",704180.0,2017,1938,6942,1432,3,2.0
41,20835144,521 Galer Pl, Glendale CA 91206,34.1534766862,-118.239098153,0,899720,944706,845737,"438,800",621331.0,2017,1927,6364,2024,3,2.0
42,20854558,349 W Garfield Ave, Glendale CA 91204,34.1359866705,-118.260037602,0,803213,843374,763052,"411,400",379174.0,2017,1912,5145,1430,3,1.0
43,20849874,900 S Verdugo Rd, Glendale CA 91205,34.1359272317,-118.233243143,0,784945,824192,745698,"510,200",291118.0,2017,1927,5549,1408,3,1.0
44,20839224,1076 Kildonan Dr, Glendale CA 91207,34.1755979237,-118.240268416,0,1672206,1755816,1588596,"1,212,100",979241.0,2017,1979,11474,3732,5,4.0
45,20842582,562 Luton Dr, Glendale CA 91206,34.1541925692,-118.234739578,0,807202,847562,766842,"791,800",538003.0,2017,1929,7452,1463,3,1.0
46,20832162,612 W Milford St, Glendale CA 91203,34.1523216209,-118.267670568,0,600080,630084,552074,"452,900",244074.0,2017,1922,6022,892,4,1.0
47,20838598,903 Chudleigh Ln, Glendale CA 91207,34.1712670869,-118.243217245,0,1345588,1426323,1278309,"1,212,100",315050.0,2017,1969,13358,2470,3,3.0
48,20837785,1901 Rimcrest Dr, Glendale CA 91207,34.1740843731,-118.25370071,0,1233803,1295493,1172113,"1,278,200",701097.0,2017,1979,7496,2620,3,3.0
49,79799493,428 W California Ave, Glendale CA 91203,34.1497089193,-118.262606621,0,504733,529970,479496,"452,900",369803.0,2017,2005,13856,1070,2,3.0
50,20823162,1420 El Miradero Ave, Glendale CA 91201,34.1774598327,-118.280139666,0,927141,973498,880784,"850,900",822812.0,2017,1927,6401,1802,3,2.0
51,20847577,1505 Wellesley Dr, Glendale CA 91205,34.1275104332,-118.240406473,0,827307,868672,785942,"683,800",27801.0,2017,1925,3484,866,2,1.0
52,20843514,951 Calle Del Pacifico, Glendale CA 91208,34.1627693146,-118.218287071,0,1435881,1579469,1349728,"929,700",1277000.0,2017,1989,10345,2528,4,3.0
53,20838613,900 Kilmary Ln, Glendale CA 91207,34.1777431518,-118.244684917,0,1426930,1498276,1341314,"1,212,100",716244.0,2017,1974,9840,3066,4,3.0
54,20835612,1243 E Wilson Ave, Glendale CA 91206,34.1480870568,-118.237830988,0,4477097,4880036,3895074,"438,800",420410.0,2017,1937,18556,6786,14,11.0
55,20846678,516 Raleigh St, Glendale CA 91205,34.1378897265,-118.249143937,0,1553505,1662250,1382619,"448,000",480872.0,2017,1921,7489,3691,5,5.0
56,20846826,410 E Windsor Rd, Glendale CA 91205,34.1369812095,-118.250883737,0,1141251,1255376,1049951,"448,000",611476.0,2017,1913,6844,2725,3,4.0
57,20826223,1107 Glenwood Rd, Glendale CA 91202,34.1671105453,-118.27796529,0,1064566,1117794,1011338,"792,200",777904.0,2017,1925,8976,2100,5,3.0
58,20819522,2211 Bonita Dr, Glendale CA 91208,34.1800149863,-118.23185682,0,1022745,1073882,971608,"893,900",29711.0,2017,1884,14289,1658,1,2.0
59,20838810,1620 Lamego Dr, Glendale CA 91207,34.1707658225,-118.235454717,0,2110737,2216274,2005200,"1,212,100",1607153.0,2017,1949,49789,2950,3,3.0
60,20830090,720 Burchett St, Glendale CA 91202,34.1580895113,-118.27206192,0,809380,849849,768911,"720,000",465998.0,2017,1925,5967,1517,3,2.0
61,20843026,649 Solway St, Glendale CA 91206,34.1581880471,-118.223436144,0,858470,901393,815547,"936,400",697119.0,2017,1955,8037,1360,3,2.0
62,20844037,901 Lorinda Dr, Glendale CA 91206,34.1581103688,-118.231770954,0,966167,1014475,917859,"791,800",395397.0,2017,1957,8555,2001,3,2.5
63,20829751,545 South St, Glendale CA 91202,34.1629492227,-118.266686272,0,537498,564373,510623,"792,200",459000.0,2017,1987,7153,1100,2,2.5
64,20819704,1416 Colina Dr, Glendale CA 91208,34.1770326197,-118.234037145,0,1095668,1150451,1040885,"893,900",880220.0,2017,1967,13812,1920,3,2.0
65,20842481,410 Canyon Dr, Glendale CA 91206,34.1520916267,-118.234421868,0,636553,668381,598360,"791,800",528121.0,2017,1936,6708,1470,2,1.0
